url,title,content
https://www.postgresql.org/docs/15/geqo.html,Chapter 62. Genetic Query Optimizer,"Author Written by Martin Utesch ( < utesch@aut.tu-freiberg.de > ) for the Institute of Automatic Control at the University of Mining and Technology in Freiberg, Germany."
https://www.postgresql.org/docs/15/parallel-query.html,Chapter 15. Parallel Query,"PostgreSQL can devise query plans that can leverage multiple CPUs in order to answer queries faster. This feature is known as parallel query. Many queries cannot benefit from parallel query, either due to limitations of the current implementation or because there is no imaginable query plan that is any faster than the serial query plan. However, for queries that can benefit, the speedup from parallel query is often very significant. Many queries can run more than twice as fast when using parallel query, and some queries can run four times faster or even more. Queries that touch a large amount of data but return only a few rows to the user will typically benefit most. This chapter explains some details of how parallel query works and in which situations it can be used so that users who wish to make use of it can understand what to expect."
https://www.postgresql.org/docs/15/reference.html,No Title,"Part VI. Reference The entries in this Reference are meant to provide in reasonable length an authoritative, complete, and formal summary about their respective subjects. More information about the use of PostgreSQL , in narrative, tutorial, or example form, can be found in other parts of this book. See the cross-references listed on each reference page. The reference entries are also available as traditional “ man ” pages."
https://www.postgresql.org/docs/15/datetime-appendix.html,Appendix B. Date/Time Support,"PostgreSQL uses an internal heuristic parser for all date/time input support. Dates and times are input as strings, and are broken up into distinct fields with a preliminary determination of what kind of information can be in the field. Each field is interpreted and either assigned a numeric value, ignored, or rejected. The parser contains internal lookup tables for all textual fields, including months, days of the week, and time zones. This appendix includes information on the content of these lookup tables and describes the steps used by the parser to decode dates and times."
https://www.postgresql.org/docs/15/bgworker.html,Chapter 48. Background Worker Processes,"PostgreSQL can be extended to run user-supplied code in separate processes. Such processes are started, stopped and monitored by postgres , which permits them to have a lifetime closely linked to the server's status. These processes are attached to PostgreSQL 's shared memory area and have the option to connect to databases internally; they can also run multiple transactions serially, just like a regular client-connected server process. Also, by linking to libpq they can connect to the server and behave like a regular client application. Warning There are considerable robustness and security risks in using background worker processes because, being written in the C language, they have unrestricted access to data. Administrators wishing to enable modules that include background worker processes should exercise extreme caution. Only carefully audited modules should be permitted to run background worker processes. Background workers can be initialized at the time that PostgreSQL is started by including the module name in shared_preload_libraries . A module wishing to run a background worker can register it by calling RegisterBackgroundWorker( BackgroundWorker * worker ) from its _PG_init() function. Background workers can also be started after the system is up and running by calling RegisterDynamicBackgroundWorker( BackgroundWorker * worker , BackgroundWorkerHandle ** handle ) . Unlike RegisterBackgroundWorker , which can only be called from within the postmaster process, RegisterDynamicBackgroundWorker must be called from a regular backend or another background worker. The structure BackgroundWorker is defined thus: typedef void (*bgworker_main_type)(Datum main_arg); typedef struct BackgroundWorker { char bgw_name[BGW_MAXLEN]; char bgw_type[BGW_MAXLEN]; int bgw_flags; BgWorkerStartTime bgw_start_time; int bgw_restart_time; /* in seconds, or BGW_NEVER_RESTART */ char bgw_library_name[BGW_MAXLEN]; char bgw_function_name[BGW_MAXLEN]; Datum bgw_main_arg; char bgw_extra[BGW_EXTRALEN]; int bgw_notify_pid; } BackgroundWorker; bgw_name and bgw_type are strings to be used in log messages, process listings and similar contexts. bgw_type should be the same for all background workers of the same type, so that it is possible to group such workers in a process listing, for example. bgw_name on the other hand can contain additional information about the specific process. (Typically, the string for bgw_name will contain the type somehow, but that is not strictly required.) bgw_flags is a bitwise-or'd bit mask indicating the capabilities that the module wants. Possible values are: BGWORKER_SHMEM_ACCESS Requests shared memory access. This flag is required. BGWORKER_BACKEND_DATABASE_CONNECTION Requests the ability to establish a database connection through which it can later run transactions and queries. A background worker using BGWORKER_BACKEND_DATABASE_CONNECTION to connect to a database must also attach shared memory using BGWORKER_SHMEM_ACCESS , or worker start-up will fail. bgw_start_time is the server state during which postgres should start the process; it can be one of BgWorkerStart_PostmasterStart (start as soon as postgres itself has finished its own initialization; processes requesting this are not eligible for database connections), BgWorkerStart_ConsistentState (start as soon as a consistent state has been reached in a hot standby, allowing processes to connect to databases and run read-only queries), and BgWorkerStart_RecoveryFinished (start as soon as the system has entered normal read-write state). Note the last two values are equivalent in a server that's not a hot standby. Note that this setting only indicates when the processes are to be started; they do not stop when a different state is reached. bgw_restart_time is the interval, in seconds, that postgres should wait before restarting the process in the event that it crashes. It can be any positive value, or BGW_NEVER_RESTART , indicating not to restart the process in case of a crash. bgw_library_name is the name of a library in which the initial entry point for the background worker should be sought. The named library will be dynamically loaded by the worker process and bgw_function_name will be used to identify the function to be called. If loading a function from the core code, this must be set to ""postgres"". bgw_function_name is the name of a function in a dynamically loaded library which should be used as the initial entry point for a new background worker. bgw_main_arg is the Datum argument to the background worker main function. This main function should take a single argument of type Datum and return void . bgw_main_arg will be passed as the argument. In addition, the global variable MyBgworkerEntry points to a copy of the BackgroundWorker structure passed at registration time; the worker may find it helpful to examine this structure. On Windows (and anywhere else where EXEC_BACKEND is defined) or in dynamic background workers it is not safe to pass a Datum by reference, only by value. If an argument is required, it is safest to pass an int32 or other small value and use that as an index into an array allocated in shared memory. If a value like a cstring or text is passed then the pointer won't be valid from the new background worker process. bgw_extra can contain extra data to be passed to the background worker. Unlike bgw_main_arg , this data is not passed as an argument to the worker's main function, but it can be accessed via MyBgworkerEntry , as discussed above. bgw_notify_pid is the PID of a PostgreSQL backend process to which the postmaster should send SIGUSR1 when the process is started or exits. It should be 0 for workers registered at postmaster startup time, or when the backend registering the worker does not wish to wait for the worker to start up. Otherwise, it should be initialized to MyProcPid . Once running, the process can connect to a database by calling BackgroundWorkerInitializeConnection( char *dbname , char *username , uint32 flags ) or BackgroundWorkerInitializeConnectionByOid( Oid dboid , Oid useroid , uint32 flags ) . This allows the process to run transactions and queries using the SPI interface. If dbname is NULL or dboid is InvalidOid , the session is not connected to any particular database, but shared catalogs can be accessed. If username is NULL or useroid is InvalidOid , the process will run as the superuser created during initdb . If BGWORKER_BYPASS_ALLOWCONN is specified as flags it is possible to bypass the restriction to connect to databases not allowing user connections. A background worker can only call one of these two functions, and only once. It is not possible to switch databases. Signals are initially blocked when control reaches the background worker's main function, and must be unblocked by it; this is to allow the process to customize its signal handlers, if necessary. Signals can be unblocked in the new process by calling BackgroundWorkerUnblockSignals and blocked by calling BackgroundWorkerBlockSignals . If bgw_restart_time for a background worker is configured as BGW_NEVER_RESTART , or if it exits with an exit code of 0 or is terminated by TerminateBackgroundWorker , it will be automatically unregistered by the postmaster on exit. Otherwise, it will be restarted after the time period configured via bgw_restart_time , or immediately if the postmaster reinitializes the cluster due to a backend failure. Backends which need to suspend execution only temporarily should use an interruptible sleep rather than exiting; this can be achieved by calling WaitLatch() . Make sure the WL_POSTMASTER_DEATH flag is set when calling that function, and verify the return code for a prompt exit in the emergency case that postgres itself has terminated. When a background worker is registered using the RegisterDynamicBackgroundWorker function, it is possible for the backend performing the registration to obtain information regarding the status of the worker. Backends wishing to do this should pass the address of a BackgroundWorkerHandle * as the second argument to RegisterDynamicBackgroundWorker . If the worker is successfully registered, this pointer will be initialized with an opaque handle that can subsequently be passed to GetBackgroundWorkerPid( BackgroundWorkerHandle * , pid_t * ) or TerminateBackgroundWorker( BackgroundWorkerHandle * ) . GetBackgroundWorkerPid can be used to poll the status of the worker: a return value of BGWH_NOT_YET_STARTED indicates that the worker has not yet been started by the postmaster; BGWH_STOPPED indicates that it has been started but is no longer running; and BGWH_STARTED indicates that it is currently running. In this last case, the PID will also be returned via the second argument. TerminateBackgroundWorker causes the postmaster to send SIGTERM to the worker if it is running, and to unregister it as soon as it is not. In some cases, a process which registers a background worker may wish to wait for the worker to start up. This can be accomplished by initializing bgw_notify_pid to MyProcPid and then passing the BackgroundWorkerHandle * obtained at registration time to WaitForBackgroundWorkerStartup( BackgroundWorkerHandle *handle , pid_t * ) function. This function will block until the postmaster has attempted to start the background worker, or until the postmaster dies. If the background worker is running, the return value will be BGWH_STARTED , and the PID will be written to the provided address. Otherwise, the return value will be BGWH_STOPPED or BGWH_POSTMASTER_DIED . A process can also wait for a background worker to shut down, by using the WaitForBackgroundWorkerShutdown( BackgroundWorkerHandle *handle ) function and passing the BackgroundWorkerHandle * obtained at registration. This function will block until the background worker exits, or postmaster dies. When the background worker exits, the return value is BGWH_STOPPED , if postmaster dies it will return BGWH_POSTMASTER_DIED . Background workers can send asynchronous notification messages, either by using the NOTIFY command via SPI , or directly via Async_Notify() . Such notifications will be sent at transaction commit. Background workers should not register to receive asynchronous notifications with the LISTEN command, as there is no infrastructure for a worker to consume such notifications. The src/test/modules/worker_spi module contains a working example, which demonstrates some useful techniques. The maximum number of registered background workers is limited by max_worker_processes ."
https://www.postgresql.org/docs/15/custom-scan.html,Chapter 61. Writing a Custom Scan Provider,"PostgreSQL supports a set of experimental facilities which are intended to allow extension modules to add new scan types to the system. Unlike a foreign data wrapper , which is only responsible for knowing how to scan its own foreign tables, a custom scan provider can provide an alternative method of scanning any relation in the system. Typically, the motivation for writing a custom scan provider will be to allow the use of some optimization not supported by the core system, such as caching or some form of hardware acceleration. This chapter outlines how to write a new custom scan provider. Implementing a new type of custom scan is a three-step process. First, during planning, it is necessary to generate access paths representing a scan using the proposed strategy. Second, if one of those access paths is selected by the planner as the optimal strategy for scanning a particular relation, the access path must be converted to a plan. Finally, it must be possible to execute the plan and generate the same results that would have been generated for any other access path targeting the same relation."
https://www.postgresql.org/docs/15/contrib-prog.html,Appendix G. Additional Supplied Programs,"This appendix and the previous one contain information regarding the modules that can be found in the contrib directory of the PostgreSQL distribution. See Appendix F for more information about the contrib section in general and server extensions and plug-ins found in contrib specifically. This appendix covers utility programs found in contrib . Once installed, either from source or a packaging system, they are found in the bin directory of the PostgreSQL installation and can be used like any other program."
https://www.postgresql.org/docs/15/release.html,Appendix E. Release Notes,"The release notes contain the significant changes in each PostgreSQL release, with major features and migration issues listed at the top. The release notes do not contain changes that affect only a few users or changes that are internal and therefore not user-visible. For example, the optimizer is improved in almost every release, but the improvements are usually observed by users as simply faster queries. A complete list of changes for each release can be obtained by viewing the Git logs for each release. The pgsql-committers email list records all source code changes as well. There is also a web interface that shows changes to specific files. The name appearing next to each item represents the major developer for that item. Of course all changes involve community discussion and patch review, so each item is truly a community effort. Section markers (§) in the release notes link to gitweb pages which show the primary git commit messages and source tree changes responsible for the release note item. There might be additional git commits which are not shown."
https://www.postgresql.org/docs/15/logical-replication.html,Chapter 31. Logical Replication,"Logical replication is a method of replicating data objects and their changes, based upon their replication identity (usually a primary key). We use the term logical in contrast to physical replication, which uses exact block addresses and byte-by-byte replication. PostgreSQL supports both mechanisms concurrently, see Chapter 27 . Logical replication allows fine-grained control over both data replication and security. Logical replication uses a publish and subscribe model with one or more subscribers subscribing to one or more publications on a publisher node. Subscribers pull data from the publications they subscribe to and may subsequently re-publish data to allow cascading replication or more complex configurations. Logical replication of a table typically starts with taking a snapshot of the data on the publisher database and copying that to the subscriber. Once that is done, the changes on the publisher are sent to the subscriber as they occur in real-time. The subscriber applies the data in the same order as the publisher so that transactional consistency is guaranteed for publications within a single subscription. This method of data replication is sometimes referred to as transactional replication. The typical use-cases for logical replication are: Sending incremental changes in a single database or a subset of a database to subscribers as they occur. Firing triggers for individual changes as they arrive on the subscriber. Consolidating multiple databases into a single one (for example for analytical purposes). Replicating between different major versions of PostgreSQL. Replicating between PostgreSQL instances on different platforms (for example Linux to Windows) Giving access to replicated data to different groups of users. Sharing a subset of the database between multiple databases. The subscriber database behaves in the same way as any other PostgreSQL instance and can be used as a publisher for other databases by defining its own publications. When the subscriber is treated as read-only by application, there will be no conflicts from a single subscription. On the other hand, if there are other writes done either by an application or by other subscribers to the same set of tables, conflicts can arise."
https://www.postgresql.org/docs/15/plpython.html,Chapter 46. PL/Python — Python Procedural Language,"The PL/Python procedural language allows PostgreSQL functions and procedures to be written in the Python language . To install PL/Python in a particular database, use CREATE EXTENSION plpython3u . Tip If a language is installed into template1 , all subsequently created databases will have the language installed automatically. PL/Python is only available as an “ untrusted ” language, meaning it does not offer any way of restricting what users can do in it and is therefore named plpython3u . A trusted variant plpython might become available in the future if a secure execution mechanism is developed in Python. The writer of a function in untrusted PL/Python must take care that the function cannot be used to do anything unwanted, since it will be able to do anything that could be done by a user logged in as the database administrator. Only superusers can create functions in untrusted languages such as plpython3u . Note Users of source packages must specially enable the build of PL/Python during the installation process. (Refer to the installation instructions for more information.) Users of binary packages might find PL/Python in a separate subpackage."
